,season,win_pct,team
568,2002,.280,MEM
569,2001,.280,MEM
570,1900,.268,MEM
571,1999,.160,MEM
572,1998,.232,MEM
573,1997,.171,MEM
574,1996,.183,MEM
575,2020,.631,MIA
576,2019,.476,MIA
577,2018,.537,MIA
578,2017,.500,MIA
579,2016,.585,MIA
580,2015,.451,MIA
581,2014,.659,MIA
582,2013,.805,MIA
583,2012,.697,MIA
584,2011,.707,MIA
585,2010,.573,MIA
586,2009,.524,MIA
587,2008,.183,MIA
588,2007,.537,MIA
589,2006,.634,MIA
590,2005,.720,MIA
591,2004,.512,MIA
592,2003,.305,MIA
593,2002,.439,MIA
594,2001,.610,MIA
595,1900,.634,MIA
596,1999,.660,MIA
597,1998,.671,MIA
598,1997,.744,MIA
599,1996,.512,MIA
600,1995,.390,MIA
601,1994,.512,MIA
602,1993,.439,MIA
603,1992,.463,MIA
604,1991,.293,MIA
605,1990,.220,MIA
606,1989,.183,MIA
607,2020,.815,MIL
608,2019,.732,MIL
609,2018,.537,MIL
610,2017,.512,MIL
611,2016,.402,MIL
612,2015,.500,MIL
613,2014,.183,MIL
614,2013,.463,MIL
615,2012,.470,MIL
616,2011,.427,MIL
617,2010,.561,MIL
618,2009,.415,MIL
619,2008,.317,MIL
620,2007,.341,MIL
621,2006,.488,MIL
622,2005,.366,MIL
623,2004,.500,MIL
624,2003,.512,MIL
625,2002,.500,MIL
626,2001,.634,MIL
627,1900,.512,MIL
628,1999,.560,MIL
629,1998,.439,MIL
630,1997,.402,MIL
631,1996,.305,MIL
632,1995,.415,MIL
633,1994,.244,MIL
634,1993,.341,MIL
635,1992,.378,MIL
636,1991,.585,MIL
637,1990,.537,MIL
638,1989,.598,MIL
639,1988,.512,MIL
640,1987,.610,MIL
641,1986,.695,MIL
642,1985,.720,MIL
643,1984,.610,MIL
644,1983,.622,MIL
645,1982,.671,MIL
646,1981,.732,MIL
647,2020,.297,MIN
648,2019,.439,MIN
649,2018,.573,MIN
650,2017,.378,MIN
651,2016,.354,MIN
652,2015,.195,MIN
653,2014,.488,MIN
654,2013,.378,MIN
655,2012,.394,MIN
656,2011,.207,MIN
