,model,param,mae_avg,mse_avg,mape_avg,mvp_avg,top3_order_avg,top3_coverage_avg,mvp_in_top3_avg,mvp_in_top5_avg
14,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.7, 'random_state': 221}",0.15169795375355988,0.03625629153802023,0.9630712670961863,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
15,ElasticNet,"{'alpha': 1e-05, 'l1_ratio': 0.9, 'random_state': 221}",0.1516712194298819,0.03624394840619163,0.9628026727380135,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
16,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'random_state': 221}",0.15153928793944074,0.036183713748324596,0.9612445428123008,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
17,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'random_state': 221}",0.15134454431768998,0.036112409220204554,0.9591124381432076,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
18,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'random_state': 221}",0.15122734063366816,0.03607190033879276,0.9574591999376996,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
19,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'random_state': 221}",0.15111492705038576,0.03602100280353291,0.9559225457408228,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
20,ElasticNet,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'random_state': 221}",0.15105394391851815,0.03599526987187034,0.9548706131971626,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.8947368421052632,0.9473684210526315
21,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.1, 'random_state': 221}",0.15052924645866975,0.03578742654068481,0.9474742106398873,0.5526315789473685,0.05263157894736842,0.6578947368421053,0.8947368421052632,0.9473684210526315
22,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.3, 'random_state': 221}",0.150095064810589,0.03570854217336319,0.939440910647103,0.5526315789473685,0.05263157894736842,0.6666666666666666,0.8947368421052632,0.9473684210526315
23,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.5, 'random_state': 221}",0.14971375946168528,0.03553322320872616,0.9346064300585798,0.5526315789473685,0.05263157894736842,0.6666666666666666,0.8947368421052632,0.9473684210526315
24,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.7, 'random_state': 221}",0.1490276632341364,0.035268905498698135,0.9283518177160069,0.5526315789473685,0.05263157894736842,0.6754385964912281,0.8947368421052632,0.9473684210526315
25,ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.9, 'random_state': 221}",0.14843864634119583,0.035073645584797176,0.9234303465901715,0.5789473684210527,0.05263157894736842,0.6754385964912281,0.8947368421052632,0.9210526315789473
26,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.1, 'random_state': 221}",0.1478902689367696,0.034895209462437536,0.9181534186827626,0.5526315789473685,0.02631578947368421,0.6842105263157897,0.868421052631579,0.9210526315789473
27,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.3, 'random_state': 221}",0.14974403904358588,0.03579210482807917,0.91973044552254,0.5789473684210527,0.02631578947368421,0.6754385964912282,0.868421052631579,0.9210526315789473
28,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.5, 'random_state': 221}",0.15154909633388983,0.03636142318314388,0.9318705149466177,0.5526315789473685,0.02631578947368421,0.6754385964912282,0.8947368421052632,0.9210526315789473
29,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.7, 'random_state': 221}",0.1524939987026506,0.03665801535344176,0.9369986251390713,0.5789473684210527,0.02631578947368421,0.6842105263157897,0.8947368421052632,0.9210526315789473
30,ElasticNet,"{'alpha': 0.01, 'l1_ratio': 0.9, 'random_state': 221}",0.15368670733800718,0.03701830402780865,0.9438306382592345,0.5789473684210527,0.05263157894736842,0.692982456140351,0.8947368421052632,0.9210526315789473
31,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1, 'random_state': 221}",0.1537505559994125,0.03711696013584534,0.9316530855745083,0.5789473684210527,0.02631578947368421,0.6842105263157896,0.9210526315789473,0.9473684210526315
32,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.3, 'random_state': 221}",0.16481150932680108,0.0409553673716585,0.99280841873597,0.5526315789473685,0.02631578947368421,0.6666666666666667,0.8947368421052632,0.9473684210526315
33,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5, 'random_state': 221}",0.1752774951921194,0.044836028252854994,1.0621155252463466,0.5526315789473685,0.05263157894736842,0.6666666666666667,0.868421052631579,0.9473684210526315
34,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.7, 'random_state': 221}",0.1856820295947946,0.048816733867406724,1.1301525225477258,0.5263157894736842,0.05263157894736842,0.6578947368421053,0.8421052631578947,0.9210526315789473
